"","data_product","data_table","data_column","variable","data_type","questions"
"153","ISCN3","layer","sand_tot_psa (percent)","sand","value_number","NA"
"154","ISCN3","layer","silt_tot_psa (percent)","silt","value_number","NA"
"155","ISCN3","dataset","soc_scount_ISCN","soil_organic_carbon_ISCN_count","value_number","NA"
"156","ISCN3","dataset","total_scount","total_site_count","value_number","NA"
"157","ISCN3","profile","site_name","site","id","NA"
"158","ISCN3","layer","site_name","site","id","NA"
"159","ISCN3","profile","site_note","site_description","note","NA"
"160","ISCN3","profile","site_perm (site_perm)","site_permeability","value_factor",NA
"161","ISCN3","dataset","soc_scount","soil_organic_carbon_count","value_number","NA"
"162","ISCN3","profile","slope (percent)","slope","value_number","NA"
"163","ISCN3","layer","dataset_name_soc","soil_organic_carbon","method","NA"
"164","ISCN3","layer","soc (g cm-2)","soil_organic_carbon","value_number","NA"
"165","ISCN3","layer","soc_carbon_flag","soil_organic_carbon","flag","NA"
"166","ISCN3","layer","soc_method","soil_organic_carbon","method","NA"
"167","ISCN3","profile","soil_series","soil_series","value_string","NA"
"168","ISCN3","layer","soil_series","soil_series","value_string","NA"
"169","ISCN3","profile","soil_taxon","soil_taxon","value_string","NA"
"170","ISCN3","layer","soil_taxon","soil_taxon","value_string","NA"
"171","ISCN3","profile","state (state_province)","state","value_factor","NA"
"172","ISCN3","layer","state (state_province)","state","value_factor","NA"
"173","ISCN3","profile","surface_veg","surface_vegetation","value_string","NA"
"174","ISCN3","layer","textureClass","soil_texture_class","value_factor","NA"
"175","ISCN3","profile","thaw_depth_profile (cm)","thaw_depth","value_number","NA"
"176","ISCN3","profile","vegclass_local","vegetation_class","value_factor","NA"
"177","ISCN3","layer","vegclass_local","vegetation_class","value_factor","NA"
"178","ISCN3","layer","wpg2_method","coarse_fraction","method","NA"
"179","ISCN3","layer","wpg2 (percent)","coarse_fraction","value_number","NA"
"180","ISCN3","layer","zn_ext (specified by metal_ext_units)","extractable_zn","value_number","NA"
"181","ISCN3","layer","metal_ext_units (extract_units)","extractable_zn","unit","NA"
"182","ISCN3","layer","metal_ext_method","extractable_zn","method","NA"
"183","ISCNTemplate","metadata","curator_name","curator_name","value_string","NA"
"184","ISCNTemplate","metadata","curator_organization","curator_organization","value_string","NA"
"185","ISCNTemplate","metadata","curator_email","curator_email","value_string","NA"
"186","ISCNTemplate","metadata","modification_date","modification_date","value_date","NA"
"187","ISCNTemplate","metadata","contact_name","contact_name","value_string","NA"
"188","ISCNTemplate","metadata","contact_email","contact_email","value_string","NA"
"189","ISCNTemplate","metadata","dataset_name","dataset_name","id","NA"
"190","ISCNTemplate","metadata","dataset_description","dataset_description","value_string","NA"
"191","ISCNTemplate","metadata","reference","reference","value_string","NA"
"192","ISCNTemplate","metadata","citation","citation","value_string","NA"
"193","ISCNTemplate","metadata","citation_usage","citation_usage","value_string","NA"
"194","ISCNTemplate","metadata","acknowledgement","acknowledgement","value_string","NA"
"195","ISCNTemplate","metadata","acknowledgement_usage","acknowledgement_usage","value_string","NA"
"196","ISCNTemplate","metadata","c_est_method","carbon_estimation","method","NA"
"197","ISCNTemplate","metadata","c_est_note","carbon_estimation","note","NA"
"198","ISCNTemplate","metadata","lab_method","lab_method","method","NA"
"199","ISCNTemplate","metadata","metadata_general","metadata_general","value_string","NA"
"200","ISCNTemplate","metadata","missdata_param","missdata_param","value_string","NA"
"201","ISCNTemplate","metadata","resample","resample","value_string","NA"
"202","ISCNTemplate","metadata","funding_organization","funding_agency","value_string","NA"
"203","ISCNTemplate","site","site_name","site_name","id","NA"
"204","ISCNTemplate","site","site_note","site_description","note","NA"
"205","ISCNTemplate","site","country","country","value_factor","NA"
"206","ISCNTemplate","site","province","province","value_factor","NA"
"207","ISCNTemplate","site","state","state","value_factor","NA"
"208","ISCNTemplate","site","county","county","value_factor","NA"
"209","ISCNTemplate","site","lat","latitude","value_number","NA"
"210","ISCNTemplate","site","long","longitude","value","NA"
"211","ISCNTemplate","site","datum","datum","method","NA"
"212","ISCNTemplate","site","location_acc","location_accuracy","value_number","NA"
"213","ISCNTemplate","site","elevation","elevation","value_number","NA"
"214","ISCNTemplate","site","vegclass_nat","vegetation_class","value_factor","NA"
"215","ISCNTemplate","site","vegclass","vegetation_class","value_factor","NA"
"216","ISCNTemplate","site","vegclass_local","vegetation_class","value_factor","NA"
"217","ISCNTemplate","site","vegclass_local_type","vegetation_class","method","NA"
"218","ISCNTemplate","site","veg_note","vegetation_class","note","NA"
