variable_location,data_product,data_table,data_column,variable
column_name,CCRCN,Dominant Species Present,study_id,dataset_name
column_name,CCRCN,Dominant Species Present,site_id,site_name
column_name,CCRCN,Dominant Species Present,core_id,core_name
column_name,CCRCN,Dominant Species Present,species_code,species_code
column_name,CCRCN,Anthropogenic Impacts Present,study_id,dataset_name
column_name,CCRCN,Anthropogenic Impacts Present,site_id,site_name
column_name,CCRCN,Anthropogenic Impacts Present,core_id,core_name
column_name,CCRCN,Anthropogenic Impacts Present,impact_class,impact_class
column_name,CCRCN,Study Level Species Table,study_id,dataset_name
column_name,CCRCN,Study Level Species Table,species_code,species_code
column_name,CCRCN,Study Level Species Table,genus,genus
column_name,CCRCN,Study Level Species Table,species,species
column_name,CCRCN,Study Level Species Table,sub_species,sub_species
column_name,CCRCN,Study Level Species Table,hybrid,hybrid
column_name,CCRCN,Study Level Species Table,common_name,common_name
column_name,CCRCN,Study Level Species Table,species_notes,species_notes
column_name,Crowther,Summary,Study,site_name
column_name,Crowther,Summary,%C,carbon_organic
column_name,Crowther,Summary,Avg. C Control,average_control_temperature
column_name,Crowther,Summary,Avg. C Warming,average_warming_temperature
column_name,Crowther,Summary,C Difference (Warming-Control),temperature_difference
column_name,Crowther,Summary,Length of Study (years),study_duration
column_name,Crowther,Summary,Mean delta T,mean_temperature_change
column_name,Crowther,Summary,Difference/Temp./Time,"NA"
column_name,Crowther,Summary,Precipitation (avg. annual mm),mean_annual_precipitation
column_name,Crowther,Summary,Temperature (avg. annual degrees C),mean_annual_temperature
column_name,Crowther,Summary,Biome,biome
column_name,Crowther,Summary,Author Updated Biome,biome
column_name,Crowther,Summary,pH (from ISRIC),pH
column_name,Crowther,Summary,Author Updated pH,pH
column_name,Crowther,Summary,% silt,silt
column_name,Crowther,Summary,% sand,sand
column_name,Crowther,Summary,% clay,clay
column_name,Crowther,Summary,Author Updated % clay,clay
column_name,Crowther,Summary,CEC (cmol/kg),cation_exchange_capacity
column_name,Crowther,Study Names,Old Name,site_name
column_name,Crowther,Study Names,New Name,detailed_site_name
column_name,Crowther,Raw,Study,site_name
column_name,Crowther,Raw,Author,author
column_name,Crowther,Raw,Biome,biome
column_name,Crowther,Raw,Ecosystem,vegetation_species
column_name,Crowther,Raw,LAT,latitude
column_name,Crowther,Raw,LONG,longitude
column_name,Crowther,Raw,"Treatment (W=warming, C=control)",treatment_type
column_name,Crowther,Raw,Planned Warming,planned_warming_temperature
column_name,Crowther,Raw,Mean delta T,mean_temperature_change
column_name,Crowther,Raw,Lengths of Study,study_duration
column_name,Crowther,Raw,%C,carbon_organic
column_name,Crowther,Raw,Bulk density,bulk_density
column_name,Crowther,Raw,Bulk Density Avg.,average_bulk_density
column_name,Crowther,Raw,total C,total_carbon
column_name,Crowther,Raw,total raw C,total_raw_carbon
column_name,Crowther,Raw,%N,nitrogen
column_name,vanGestel2017,sites,site.id,site_name
column_name,vanGestel2017,sites,state.country,state_country
column_name,vanGestel2017,sites,site,site
column_name,vanGestel2017,sites,project,project
column_name,vanGestel2017,sites,lat,latitude
column_name,vanGestel2017,sites,lon,longitude
column_name,vanGestel2017,sites,elevation,elevation
column_name,vanGestel2017,sites,mat,mean_annual_temperature
column_name,vanGestel2017,sites,map,mean_annual_precipitation
column_name,vanGestel2017,sites,treatments,treatment_type
column_name,vanGestel2017,sites,technique,technique
column_name,vanGestel2017,sites,season,season
column_name,vanGestel2017,sites,biome,biome
column_name,vanGestel2017,sites,sub.biome,sub_biome
column_name,vanGestel2017,sites,species,vegetation_species
column_name,vanGestel2017,sites,soil.type,soil_type
column_name,vanGestel2017,sites,soil.texture.class,soil_texture_class
column_name,vanGestel2017,sites,perc.sand,sand
column_name,vanGestel2017,sites,perc.silt,silt
column_name,vanGestel2017,sites,perc.clay,clay
column_name,vanGestel2017,sites,start.date,treatment_duration_start
column_name,vanGestel2017,sites,C.pool.abg,carbon_pool_above_ground
column_name,vanGestel2017,sites,C.pool.bwg,carbon_pool_below_ground
column_name,vanGestel2017,sites,N.pool.abg,nitrogen_pool_above_ground
column_name,vanGestel2017,sites,N.pool.bwg,nitrogen_pool_below_ground
column_name,vanGestel2017,sites,P.pool.bwg,phosphorus_pool_above_ground
column_name,vanGestel2017,sites,soil.depth.pool,depth
column_name,vanGestel2017,sites,Ndep.rate,nitrogen_deposition_rate
column_name,vanGestel2017,sites,bulk.density,bulk_density
column_name,vanGestel2017,sites,pH,pH
column_name,vanGestel2017,sites,percent.om,organic_matter
column_name,vanGestel2017,sites,source,source
column_name,vanGestel2017,sites,notes,notes
column_name,vanGestel2017,sites,Reference,reference
column_name,vanGestel2017,soc,site.id,site_name
column_name,vanGestel2017,soc,trt,treatment_type
column_name,vanGestel2017,soc,technique,technique
column_name,vanGestel2017,soc,season,season
column_name,vanGestel2017,soc,trt.size.bg,treatment_size_below_ground
column_name,vanGestel2017,soc,soilT.depth,depth_soil_temperature
column_name,vanGestel2017,soc,trt.size.abg,treatment_size_above_ground
column_name,vanGestel2017,soc,trt.size.units,treatment_size_units
column_name,vanGestel2017,soc,start.date,treatment_duration_start
column_name,vanGestel2017,soc,measurement.date,measurement_date
column_name,vanGestel2017,soc,duration,treatment_duration
column_name,vanGestel2017,soc,remove,remove
column_name,vanGestel2017,soc,multi.year,multiyear
column_name,vanGestel2017,soc,control.mean,control_mean
column_name,vanGestel2017,soc,control.se,control_standard_error
column_name,vanGestel2017,soc,control.n,control_size
column_name,vanGestel2017,soc,trt.mean,treatment_mean
column_name,vanGestel2017,soc,trt.se,treatment_standard_error
column_name,vanGestel2017,soc,trt.n,treatment_size
column_name,vanGestel2017,soc,unit,unit
column_name,vanGestel2017,soc,variable,variable
column_name,vanGestel2017,soc,soil.horizon,soil_horizon
column_name,vanGestel2017,soc,bulk.density,input
column_name,vanGestel2017,soc,source,source
column_name,vanGestel2017,soc,notes,notes
column_name,vanGestel2017,soc,reference,reference
column_name,vanGestel2017,bd_calculation,site.id,site_name
column_name,vanGestel2017,bd_calculation,percent.som,percent_soil_organic_matter
column_name,vanGestel2017,bd_calculation,bd,bulk_density
column_name,vanGestel2017,bd_calculation,soil.horizon,soil_horizon
column_name,vanGestel2017,bd_calculation,notes,notes
column_name,vanGestel2017,plant,site.id,site_name
column_name,vanGestel2017,plant,trt,treatment_type
column_name,vanGestel2017,plant,technique,technique
column_name,vanGestel2017,plant,season,season
column_name,vanGestel2017,plant,trt.size.bg,treatment_size_below_ground
column_name,vanGestel2017,plant,soilT.depth,depth_soil_temperature
column_name,vanGestel2017,plant,trt.size.abg,treatment_size_above_ground
column_name,vanGestel2017,plant,trt.size.units,treatment_size_units
column_name,vanGestel2017,plant,species,vegetation_species
column_name,vanGestel2017,plant,start.date,treatment_duration_start
column_name,vanGestel2017,plant,measurement.date,measurement_date
column_name,vanGestel2017,plant,duration,treatment_duration
column_name,vanGestel2017,plant,remove,remove
column_name,vanGestel2017,plant,multi.year,multiyear
column_name,vanGestel2017,plant,control.mean,control_mean
column_name,vanGestel2017,plant,control.se,control_standard_error
column_name,vanGestel2017,plant,control.n,control_size
column_name,vanGestel2017,plant,trt.mean,treatment_mean
column_name,vanGestel2017,plant,trt.se,treatment_standard_error
column_name,vanGestel2017,plant,trt.n,treatment_size
column_name,vanGestel2017,plant,unit,unit
column_name,vanGestel2017,plant,variable,variable
column_name,vanGestel2017,plant,soil.horizon,soil_horizon
column_name,vanGestel2017,plant,source,source
column_name,vanGestel2017,plant,notes,notes
column_name,vanGestel2017,plant,reference,reference
column_name,vanGestel2017,plant,input,input
column_name,ISRaD,interstitial,entry_name,dataset_name
column_name,ISRaD,interstitial,site_name,site_name
column_name,ISRaD,interstitial,pro_name,profile_name
column_name,ISRaD,interstitial,ist_name,interstitial_name
column_name,ISRaD,interstitial,ist_obs_date_y,observation_date
column_name,ISRaD,interstitial,ist_obs_date_m,observation_date
column_name,ISRaD,interstitial,ist_obs_date_d,observation_date
column_name,ISRaD,interstitial,ist_all_org_neg,all_org_neg
column_name,ISRaD,interstitial,ist_depth,depth
column_name,ISRaD,interstitial,ist_notes,interstitial_notes
column_name,ISRaD,interstitial,ist_phase,interstitial_phase
column_name,ISRaD,interstitial,ist_analyte,analyte
column_name,ISRaD,interstitial,ist_method,interstitial_sampling_method
column_name,ISRaD,interstitial,ist_storage_method,interstitial_sample_storage_method
